line_name,line_url,line_start,line_stop,line_op_time,line_interval,line_price,line_company,line_up_times,line_station_up,line_station_up_len,line_station_down,line_station_down_len
北京专112路公交车路线,http://beijing.gongjiao.com/xianlu_36469,望京北路东口,地铁望京西站,5:15-22:00,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第七客运分公司,2015-04-05 03:39:35,"['望京北路东口', '北小河西(东行)', '北小河', '北小河西(西行)', '望京北路东口(西行)', '广泽路', '利泽中二路', '利泽中街西口', '望京花园西区', '河荫西路西口', '南湖东园', '南湖南路', '南湖西里', '地铁望京西站']",14,"['地铁望京西站', '南湖中园南门', '南湖东园', '河荫西路西口', '望京花园西区', '利泽中街西口', '利泽中二路', '广泽路', '望京北路东口']",9
北京专106路公交车路线,http://beijing.gongjiao.com/xianlu_36470,昌平东关,朝凤庵村,5:30-22:00,未知,无人售票线路，单一票制1元，不设找赎。持卡乘车普通卡0.40元/次、学生卡0.20元/次,北京公交集团第一客运分公司,2015-01-29 07:31:16,"['昌平东关', '中国政法大学', '昌平南大街', '昌平中心公园', '永安路北口', '昌平永安里小区', '昌平永安路', '昌平永安路南口', '拓然家园', '白浮泉路', '富泉花园南门', '昌盛路', '世涛天朗小区南门', '昌盛园二区东门', '宁馨苑小区南门', '昌平东关路口北', '前锋学校', '朝凤庵村']",18,"['地铁望京西站', '南湖中园南门', '南湖东园', '河荫西路西口', '望京花园西区', '利泽中街西口', '利泽中二路', '广泽路', '望京北路东口']",9
北京专113路公交车路线,http://beijing.gongjiao.com/xianlu_36471,四惠枢纽站,百子湾家园东站,5:30-23:00,未知,无人售票线路，单一票制1元，不设找赎。持卡乘车普通卡0.40元/次、学生卡0.20元/次,北京公交集团第七客运分公司,2015-01-29 07:31:16,"['四惠枢纽站', '百子湾桥东', '百子湾', '水南庄', '水南庄东站', '百子湾家园西站', '百子湾家园', '百子湾家园东站']",8,"['百子湾家园东站', '百子湾家园', '百子湾家园西站', '水南庄东站', '水南庄', '百子湾', '百子湾桥东', '四惠枢纽站']",8
北京专107路公交车路线,http://beijing.gongjiao.com/xianlu_36472,北苑家园,天通北苑一区南,5:30-23:00,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第一客运分公司,2015-04-05 03:39:36,"['北苑家园', '北苑家园西站', '地铁立水桥南站', '立水桥', '立水桥北站', '地铁立水桥站', '东小口', '天通西苑南', '天通西苑北', '天通苑太平庄', '天通北苑一区南']",11,"['天通北苑一区南', '立水桥北路北口', '丽水园北', '天通西苑北', '天通西苑南', '东小口', '地铁立水桥站', '立水桥北站', '立军路东口(西行)', '明天第一城(西行)', '清水园', '佳运园西区', '溪城家园', '嘉诚花园小区', '明天第一城(东行)', '立军路东口(东行)', '地铁立水桥南站', '北苑家园西站', '北苑家园']",19
北京专118路公交车路线,http://beijing.gongjiao.com/xianlu_36473,地铁天通苑北站,白坊,5:00-23:00,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第八客运分公司,2015-04-05 03:39:36,"['地铁天通苑北站', '东三旗南站', '天通北苑一区南', '天通中苑西站', '天通中苑西区', '天通中苑东区', '天通苑塔楼', '天通东苑一区', '白坊南', '白坊']",10,"['白坊', '天通中苑东区', '天通中苑西区', '天通中苑西站', '天通北苑一区南', '东三旗南站', '地铁天通苑北站']",7
北京专119路公交车路线,http://beijing.gongjiao.com/xianlu_36474,海鶄落,地铁天通苑北站,5:30-22:40,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第八客运分公司,2015-04-05 03:39:36,"['海鶄落', '海鶄落村委会', '东三旗菊苑', '东三旗兰苑', '名佳花园', '平西王府路口东', '东三旗', '地铁天通苑北站']",8,"['地铁天通苑北站', '东三旗', '平西王府路口东', '名佳花园', '东三旗兰苑', '东三旗菊苑', '海鶄落村委会', '海鶄落']",8
北京专110路公交车路线,http://beijing.gongjiao.com/xianlu_36475,鲁谷公交场站,绿谷雅园小区,5:30-22:00,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第三客运分公司,2015-04-05 03:39:37,"['鲁谷公交场站', '十院', '鲁谷路东口', '玉泉路口南', '玉泉路口北', '正大路西口', '航天部医院', '玉海园', '田村山南路', '总参通讯干休所', '梁公庵', '沙石路口南', '沙石路口西', '巨山路南口', '锦绣大地', '碧桐园小区', '绿谷雅园小区']",17,"['绿谷雅园小区', '碧桐园小区', '锦绣大地', '巨山路南口', '沙石路口西', '沙石路口南', '梁公庵', '总参通讯干休所', '田村山南路', '玉海园', '航天部医院', '正大路西口', '玉泉路口北', '玉泉路口南', '鲁谷路东口', '十院', '鲁谷公交场站']",17
北京专120路公交车路线,http://beijing.gongjiao.com/xianlu_36476,龙祥嘉园(1),地铁北苑路北站(3),5:30-21:53,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第八客运分公司,2015-04-05 03:39:36,"['龙祥嘉园(1)', '清林路(2)', '天月园小区(3)', '地铁北苑路北站(3)']",4,"['地铁北苑路北站(3)', '天月园小区(3)', '清林路(2)', '龙祥嘉园(1)']",4
北京专121路公交车路线,http://beijing.gongjiao.com/xianlu_36477,二拨子新村,地铁回龙观站,6:00-9:30,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第八客运分公司,2015-04-05 03:39:37,"['二拨子新村', '二拨子新村东', '龙兴园北门', '北京人家北门', '北京人家东门', '北京人家小区', '北郊农场桥西', '北郊农场桥东', '龙华园', '龙华园东区', '育知路南口', '地铁回龙观站']",12,"['地铁回龙观站', '育知路南口', '龙华园东区', '龙华园', '北郊农场桥东', '北郊农场桥西', '北京人家小区', '北京人家东门', '北京人家北门', '龙兴园北门', '二拨子新村东', '二拨子新村']",12
北京专115路公交车路线,http://beijing.gongjiao.com/xianlu_36478,草房西路南口,杨闸,5:30-22:40,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第七客运分公司,2015-04-05 03:39:37,"['草房西路南口', '东十里堡村', '五里桥一街', '阳光美园北门', '北辰福第小区', '万象新天三区', '万象新天一区', '常营', '常营路口南', '科技大学管庄校区', '管庄路口北', '杨闸环岛西', '杨闸']",13,"['杨闸', '杨闸环岛西', '管庄路口北', '科技大学管庄校区', '常营路口南', '常营', '万象新天一区', '万象新天三区', '北辰福第小区', '阳光美园北门', '草房西路北口', '草房西路南口']",12
