Date,Symbol,Open,High,Low,Close,Adj Close,Volume
26/02/2018,AAPL,176.350006,179.389999,176.210007,178.970001,176.285675,38162200
27/02/2018,AAPL,179.100006,180.479996,178.160004,178.389999,175.714386,38928100
28/02/2018,AAPL,179.259995,180.619995,178.050003,178.119995,175.44841,37782100
01/03/2018,AAPL,178.539993,179.779999,172.660004,175,172.375214,48802000
02/03/2018,AAPL,172.800003,176.300003,172.449997,176.210007,173.567078,38454000
05/03/2018,AAPL,175.210007,177.740005,174.520004,176.820007,174.167923,28401400
06/03/2018,AAPL,177.910004,178.25,176.130005,176.669998,174.020172,23788500
07/03/2018,AAPL,174.940002,175.850006,174.270004,175.029999,172.40477,31703500
08/03/2018,AAPL,175.479996,177.119995,175.070007,176.940002,174.286118,23774100
09/03/2018,AAPL,177.960007,180,177.389999,179.979996,177.280518,32185200
12/03/2018,AAPL,180.289993,182.389999,180.210007,181.720001,178.994415,32207100
13/03/2018,AAPL,182.589996,183.5,179.240005,179.970001,177.27066,31693500
14/03/2018,AAPL,180.320007,180.520004,177.809998,178.440002,175.763611,29368400
15/03/2018,AAPL,178.5,180.240005,178.070007,178.649994,175.970459,22743800
16/03/2018,AAPL,178.649994,179.119995,177.619995,178.020004,175.349915,39404700
19/03/2018,AAPL,177.320007,177.470001,173.660004,175.300003,172.670731,33446800
20/03/2018,AAPL,175.240005,176.800003,174.940002,175.240005,172.611618,19649400
21/03/2018,AAPL,175.039993,175.089996,171.259995,171.270004,168.701157,36338100
22/03/2018,AAPL,170,172.679993,168.600006,168.850006,166.317459,41490800
23/03/2018,AAPL,168.389999,169.919998,164.940002,164.940002,162.466095,41028800
26/03/2018,AAPL,168.070007,173.100006,166.440002,172.770004,170.17868,37541200
27/03/2018,AAPL,173.679993,175.149994,166.919998,168.339996,165.815109,40922600
28/03/2018,AAPL,167.25,170.020004,165.190002,166.479996,163.983002,41668500
29/03/2018,AAPL,167.809998,171.75,166.899994,167.779999,165.263504,38398500
02/04/2018,AAPL,166.639999,168.940002,164.470001,166.679993,164.180008,37586800
03/04/2018,AAPL,167.639999,168.75,164.880005,168.389999,165.864349,30278000
04/04/2018,AAPL,164.880005,172.009995,164.770004,171.610001,169.036072,34605500
05/04/2018,AAPL,172.580002,174.229996,172.080002,172.800003,170.208206,26933200
06/04/2018,AAPL,170.970001,172.479996,168.199997,168.380005,165.854523,35005300
09/04/2018,AAPL,169.880005,173.089996,169.850006,170.050003,167.499466,29017700
10/04/2018,AAPL,173,174,171.529999,173.25,170.651459,28408600
11/04/2018,AAPL,172.229996,173.919998,171.699997,172.440002,169.853622,22431600
12/04/2018,AAPL,173.410004,175,173.039993,174.139999,171.528107,22889300
13/04/2018,AAPL,174.779999,175.839996,173.850006,174.729996,172.109268,25124300
16/04/2018,AAPL,175.029999,176.190002,174.830002,175.820007,173.182922,21578400
17/04/2018,AAPL,176.490005,178.940002,176.410004,178.240005,175.56662,26509000
18/04/2018,AAPL,177.809998,178.820007,176.880005,177.839996,175.172607,20754500
19/04/2018,AAPL,173.759995,175.389999,172.660004,172.800003,170.208206,34808800
20/04/2018,AAPL,170.600006,171.220001,165.429993,165.720001,163.23439,65491100
23/04/2018,AAPL,166.830002,166.919998,164.089996,165.240005,162.761597,36515500
24/04/2018,AAPL,165.669998,166.330002,161.220001,162.940002,160.496109,33692000
25/04/2018,AAPL,162.619995,165.419998,162.410004,163.649994,161.19545,28382100
